Date,Open,High,Low,Close,Change,Chg,Volume,VWAP,IV30,Chg2,Volume,Call,Put
8/22/2018,145.59,147.2,145.05,146.46,+0.93_,0.60%,"4,245,303",146.26,28.6,1.50%,"17,487",63.90%,36.10%
8/21/2018,146.41,148.79,145.36,145.53,-0.18_,-0.10%,"4,063,688",146.8,28.1,2.30%,"20,879",55.20%,44.80%
8/20/2018,145.21,146.06,144.32,145.71,+0.69_,0.50%,"2,882,181",145.57,27.5,-3.40%,"14,083",59.20%,40.80%
8/17/2018,145.5,146.01,143.95,145.02,-0.71_,-0.50%,"2,865,587",144.81,28.5,0.20%,"24,069",66.00%,34.00%
8/16/2018,146.51,146.91,145.22,145.73,+0.69_,0.50%,"3,703,974",146.05,28.4,-4.80%,"20,936",75.10%,24.90%
8/15/2018,146.08,147.88,143.6,145.04,-1.53_,-1.00%,"4,476,924",144.91,29.9,8.40%,"21,245",64.60%,35.40%
8/14/2018,146.18,146.77,144.57,146.57,+2.12_,1.50%,"3,474,743",145.92,27.6,0.10%,"16,147",74.60%,25.40%
8/13/2018,145.63,147.18,144.22,144.45,-1.06_,-0.70%,"2,880,424",145.34,27.5,-3.30%,"17,795",60.40%,39.60%
8/10/2018,144.93,147,144.35,145.51,-0.31_,-0.20%,"2,748,786",145.81,28.5,0.80%,"18,317",68.70%,31.30%
8/9/2018,145.3,146.85,145.09,145.82,+0.65_,0.40%,"3,572,588",146.01,28.2,5.00%,"23,569",49.10%,50.90%
8/8/2018,144.46,145.63,143.16,145.17,+0.73_,0.50%,"3,027,248",145.05,26.9,-1.40%,"20,339",60.40%,39.60%
8/7/2018,143.53,144.61,142.73,144.44,+1.73_,1.20%,"3,928,255",144.11,27.3,-1.30%,"25,660",67.80%,32.20%
8/6/2018,140.89,142.85,140.65,142.71,+1.67_,1.20%,"3,247,342",142.2,27.6,-6.60%,"18,247",56.10%,43.90%
8/3/2018,141.53,141.74,138.42,141.04,-0.10_,-0.10%,"3,463,527",140.36,29.6,-2.70%,"27,618",56.20%,43.80%
8/2/2018,137.05,141.3,136.75,141.14,+3.46_,2.50%,"3,779,192",139.88,30.4,-1.10%,"24,471",70.90%,29.10%
8/1/2018,138,140.9,137.51,137.68,+0.53_,0.40%,"5,098,091",138.85,30.7,3.20%,"32,837",65.50%,34.50%
7/31/2018,138.68,139.79,135.39,137.15,-0.88_,-0.60%,"7,442,857",137.69,29.8,3.00%,"29,203",56.40%,43.60%
7/30/2018,143.54,143.73,135.52,138.03,-5.88_,-4.10%,"9,521,968",138.88,28.9,20.30%,"53,155",54.50%,45.50%
7/27/2018,148.25,148.28,142.38,143.91,-3.66_,-2.50%,"5,925,461",144.76,24,-1.80%,"31,755",54.10%,45.90%
7/26/2018,147.98,148.75,145.68,147.57,-1.30_,-0.90%,"3,414,306",147.81,24.5,4.70%,"17,795",52.00%,48.00%
7/25/2018,146.13,149.35,146,148.87,+2.87_,2.00%,"4,267,918",148.23,23.4,-3.30%,"20,850",71.40%,28.60%
7/24/2018,148.55,148.85,145.18,146,-1.56_,-1.10%,"4,052,312",146.93,24.2,8.90%,"18,570",45.00%,55.00%
7/23/2018,146.87,147.64,144.8,147.56,+0.69_,0.50%,"2,538,119",146.72,22.2,1.70%,"12,074",57.90%,42.10%
7/20/2018,147.44,147.92,146.69,146.87,-0.29_,-0.20%,"2,533,781",147.2,21.9,0.70%,"18,216",59.30%,40.70%
